ano;trim;geo;cod-ca;ca;cod-prv;prv;viv-num;viv-imp;viv-pm2;gar-num;gar-imp;gar-pm2;tras-num;tras-imp;tras-pm2;
2007;3;Comunidad;9;Cataluña;98;CATALUÑA;123919;244032;2950,16;61710;18256;1367,23;7979;6162;1169,35;
2007;3;Provincia;9;Cataluña;8;Barcelona;74773;280067;3433,99;40493;19874;1530,41;4392;7310;1372,06;
2007;3;Provincia;9;Cataluña;17;Girona;18628;222383;2545,39;8659;16870;1158,69;1210;5011;983,63;
2007;3;Provincia;9;Cataluña;25;Lleida;9858;160396;1782,35;5264;14633;1072,01;1124;3839;799,36;
2007;3;Provincia;9;Cataluña;43;Tarragona;20660;175545;2147,01;7294;14987;1066,78;1253;5602;1013,57;
2007;3;Comunidad;10;Comunitat Valenciana;98;COMUNITAT VALENCIANA;118467;146697;1551,59;41829;15079;1134,46;10155;5456;859,68;
2007;3;Provincia;10;Comunitat Valenciana;3;Alicante / Alacant;56614;135909;1502,12;18924;14015;1003,46;4796;6124;822,60;
2007;3;Provincia;10;Comunitat Valenciana;12;Castellón / Castelló;13374;150357;1669,90;4460;12615;975,10;1075;4911;800,72;
2007;3;Provincia;10;Comunitat Valenciana;46;Valencia / València;48479;158883;1576,13;18445;16701;1303,78;4284;4951;909,24;
2007;3;Comunidad;11;Extremadura;98;EXTREMADURA;15220;88056;856,55;3283;12190;712,47;909;4259;680,36;
2007;3;Provincia;11;Extremadura;6;Badajoz;8769;82125;789,82;1593;12341;723,71;508;4208;699,60;
2007;3;Provincia;11;Extremadura;10;Cáceres;6451;95398;939,14;1690;12050;702,02;401;4310;660,99;
2007;3;Comunidad;12;Galicia;98;GALICIA;33376;122175;1437,23;16267;15183;1153,73;5266;4650;859,24;
2007;3;Provincia;12;Galicia;15;A Coruña;14241;122969;1428,84;5712;15103;1219,33;2036;4246;830,32;
2007;3;Provincia;12;Galicia;27;Lugo;4209;98158;1132,33;2193;11356;912,89;554;5019;923,02;
2007;3;Provincia;12;Galicia;32;Ourense;3814;91974;976,40;2799;12581;868,37;698;3630;737,11;
2007;3;Provincia;12;Galicia;36;Pontevedra;11112;138139;1683,03;5563;18562;1363,12;1978;5393;921,24;
2007;3;Comunidad;13;Comunidad de Madrid;98;COMUNIDAD DE MADRID;91804;278164;3021,38;47246;22067;1521,14;4619;7912;1369,84;
2007;3;Provincia;13;Comunidad de Madrid;28;Madrid;91804;278164;3021,38;47246;22067;1521,14;4619;7912;1369,84;
2007;3;Comunidad;14;Región de Murcia;98;REGIÓN DE MURCIA;32685;127450;1316,88;10123;14412;913,73;1785;3876;756,58;
2007;3;Provincia;14;Región de Murcia;30;Murcia;32685;127450;1316,88;10123;14412;913,73;1785;3876;756,58;
2007;3;Comunidad;15;C. Foral de Navarra;98;C. FORAL DE NAVARRA;10510;194067;2000,46;3339;18380;1178,91;1305;9263;1175,20;
2007;3;Provincia;15;C. Foral de Navarra;31;Navarra;10510;194067;2000,46;3339;18380;1178,91;1305;9263;1175,20;
2007;3;Comunidad;16;País Vasco;98;PAÍS VASCO;27821;268023;3242,17;17413;26617;1701,21;4479;11794;1605,20;
2007;3;Provincia;16;País Vasco;1;Araba / Álava;4727;235612;2501,48;2345;20612;1394,70;193;8299;1204,79;
2007;3;Provincia;16;País Vasco;20;Gipuzkoa;8534;277510;3470,34;5289;26100;1481,63;966;12758;1537,78;
2007;3;Provincia;16;País Vasco;48;Bizkaia;14560;269301;3264,90;9779;27730;1880,79;3320;11602;1638,60;
2007;3;Comunidad;17;La Rioja;98;LA RIOJA;7516;154853;1725,88;2486;14821;1079,88;317;6801;789,76;
2007;3;Provincia;17;La Rioja;26;La Rioja;7516;154853;1725,88;2486;14821;1079,88;317;6801;789,76;
2007;3;Comunidad;18;Ceuta;98;CEUTA;531;137001;1630,25;340;15550;948,41;38;5289;988,71;
2007;3;Provincia;18;Ceuta;51;Ceuta;531;137001;1630,25;340;15550;948,41;38;5289;988,71;
2007;3;Comunidad;19;Melilla;98;MELILLA;729;127043;1340,11;259;14731;800,16;16;8232;1165,84;
2007;3;Provincia;19;Melilla;52;Melilla;729;127043;1340,11;259;14731;800,16;16;8232;1165,84;
2007;4;Nacional;99;ESPAÑA;99;ESPAÑA;788518;182446;2014,80;327999;17953;1227,06;62767;6421;1043,39;
2007;4;Comunidad;1;Andalucía;98;ANDALUCÍA;169155;149082;1541,60;56051;16764;952,61;9935;6447;987,05;
2007;4;Provincia;1;Andalucía;4;Almería;20649;132995;1503,83;6806;12789;812,23;924;4808;764,21;
2007;4;Provincia;1;Andalucía;11;Cádiz;24563;155687;1584,16;6723;17057;986,42;1315;5779;953,61;
2007;4;Provincia;1;Andalucía;14;Córdoba;11287;136435;1305,43;5298;16057;829,17;492;7357;970,86;
2007;4;Provincia;1;Andalucía;18;Granada;16596;134454;1374,62;6556;15638;868,15;1077;5411;841,67;
